Frequency,IR_Intensity,Raman_Activity,Raman_Intensity
538.9167,123.0458,2.9801,3875.497637702801
1114.8107,83.9686,9.4568,4864.027586125278
1169.1346,39.8203,1.3851,670.2870574083089
1246.5567,2.8655,4.3327,1930.0238375693548
1514.9908,46.953,1.5815,544.0375670128905
1582.789,10.8457,2.9794,965.5305220346484
1597.5547,1.9964,14.1583,4530.127940240974
1606.6977,2.9847,14.3596,4558.59641152078
3169.8185,57.0136,144.1057,15829.668929289279
3230.8527,87.1992,73.9309,7843.967611866379
3291.9694,44.3364,80.8544,8287.82877951105
3976.5917,46.6029,69.0483,4890.856820394148
